pin,slack
test_0/u100/UPCMTX/source_left_r25[18]:CLK,
test_0/u100/UPCMTX/source_left_r25[18]:D,
test_0/u100/UPCMTX/source_left_r25[18]:EN,
test_0/u100/UPCMTX/source_left_r25[18]:LAT,
test_0/u100/UPCMTX/source_left_r25[18]:Q,
test_0/u100/UPCMTX/source_left_r25[18]:SD,
test_0/u100/UPCMTX/source_left_r25[18]:SLn,
test_0/u100/n_response_cnst_4_7_0__un1_buffer_under_runlto2:A,9205
test_0/u100/n_response_cnst_4_7_0__un1_buffer_under_runlto2:B,9155
test_0/u100/n_response_cnst_4_7_0__un1_buffer_under_runlto2:C,9058
test_0/u100/n_response_cnst_4_7_0__un1_buffer_under_runlto2:Y,9058
test_0/u100/arg[12]:ADn,
test_0/u100/arg[12]:ALn,
test_0/u100/arg[12]:CLK,5106
test_0/u100/arg[12]:D,9883
test_0/u100/arg[12]:EN,
test_0/u100/arg[12]:LAT,
test_0/u100/arg[12]:Q,5106
test_0/u100/arg[12]:SD,
test_0/u100/arg[12]:SLn,
test_0/u100/UPCMTX/un1_source_left_r4_0_I_63:A,
test_0/u100/UPCMTX/un1_source_left_r4_0_I_63:B,
test_0/u100/UPCMTX/un1_source_left_r4_0_I_63:C,
test_0/u100/UPCMTX/un1_source_left_r4_0_I_63:D,
test_0/u100/UPCMTX/un1_source_left_r4_0_I_63:FCI,
test_0/u100/UPCMTX/un1_source_left_r4_0_I_63:FCO,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk24_UI_ram_wrapper_1/L4_syncpipe/FIFO_FIFO_0_LSRAM_top_R0C0/FF_35:EN,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk24_UI_ram_wrapper_1/L4_syncpipe/FIFO_FIFO_0_LSRAM_top_R0C0/FF_35:IPENn,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:ADn,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:ALn,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:CLK,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:D,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:EN,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:LAT,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:Q,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:SD,
test_0/u100/UPCMTX/U_FIFO_R/FIFO_0/genblk18_fifo_corefifo_sync_scntr/memwaddr_r[4]:SLn,
test_0/u100/UPCMTX/un1_source_right_r15_0_I_75:A,
test_0/u100/UPCMTX/un1_source_right_r15_0_I_75:B,
test_0/u100/UPCMTX/un1_source_right_r15_0_I_75:C,
test_0/u100/UPCMTX/un1_source_right_r15_0_I_75:D,
test_0/u100/UPCMTX/un1_source_right_r15_0_I_75:FCI,
test_0/u100/UPCMTX/un1_source_right_r15_0_I_75:FCO,
test_0/UDAT3/U0/U_IOPAD:D,
test_0/UDAT3/U0/U_IOPAD:E,
test_0/UDAT3/U0/U_IOPAD:PAD,
test_0/UDAT3/U0/U_IOPAD:Y,
test_0/u100/UPCMTX/source_left_r22[12]:ADn,
test_0/u100/UPCMTX/source_left_r22[12]:ALn,
test_0/u100/UPCMTX/source_left_r22[12]:CLK,
test_0/u100/UPCMTX/source_left_r22[12]:D,
test_0/u100/UPCMTX/source_left_r22[12]:EN,
test_0/u100/UPCMTX/source_left_r22[12]:LAT,
test_0/u100/UPCMTX/source_left_r22[12]:Q,
test_0/u100/UPCMTX/source_left_r22[12]:SD,
test_0/u100/UPCMTX/source_left_r22[12]:SLn,
test_0/u100/UD100/blkn[2]:ADn,
test_0/u100/UD100/blkn[2]:ALn,
test_0/u100/UD100/blkn[2]:CLK,7825
test_0/u100/UD100/blkn[2]:D,13233
test_0/u100/UD100/blkn[2]:EN,10629
test_0/u100/UD100/blkn[2]:LAT,
test_0/u100/UD100/blkn[2]:Q,7825
test_0/u100/UD100/blkn[2]:SD,
test_0/u100/UD100/blkn[2]:SLn,
test_0/u100/UPCMTX/un3_ii_1_SUM[1]:A,
test_0/u100/UPCMTX/un3_ii_1_SUM[1]:B,
test_0/u100/UPCMTX/un3_ii_1_SUM[1]:Y,
test_0/u100/UPCMTX/un1_source_left_r9_0_I_27:A,
test_0/u100/UPCMTX/un1_source_left_r9_0_I_27:B,
test_0/u100/UPCMTX/un1_source_left_r9_0_I_27:C,
test_0/u100/UPCMTX/un1_source_left_r9_0_I_27:D,
test_0/u100/UPCMTX/un1_source_left_r9_0_I_27:FCI,
test_0/u100/UPCMTX/un1_source_left_r9_0_I_27:FCO,
test_0/u100/UPCMTX/source_right_r25[30]:ADn,
test_0/u100/UPCMTX/source_right_r25[30]:ALn,
test_0/u100/UPCMTX/source_right_r25[30]:CLK,
test_0/u100/UPCMTX/source_right_r25[30]:D,
test_0/u100/UPCMTX/source_right_r25[30]:EN,
test_0/u100/UPCMTX/source_right_r25[30]:LAT,
test_0/u100/UPCMTX/source_right_r25[30]:Q,
test_0/u100/UPCMTX/source_right_r25[30]:SD,
test_0/u100/UPCMTX/source_right_r25[30]:SLn,
test_0/u100/i_RNIH56L[6]:A,6927
test_0/u100/i_RNIH56L[6]:B,6836
test_0/u100/i_RNIH56L[6]:Y,6836
test_0/u100/DSD138/UIN100/jishi_cry[1]:A,
test_0/u100/DSD138/UIN100/jishi_cry[1]:B,
test_0/u100/DSD138/UIN100/jishi_cry[1]:C,
test_0/u100/DSD138/UIN100/jishi_cry[1]:D,
test_0/u100/DSD138/UIN100/jishi_cry[1]:FCI,
test_0/u100/DSD138/UIN100/jishi_cry[1]:FCO,
test_0/u100/DSD138/UIN100/jishi_cry[1]:S,
test_0/u100/UPCMTX/source_left_r22[22]:ADn,
test_0/u100/UPCMTX/source_left_r22[22]:ALn,
test_0/u100/UPCMTX/source_left_r22[22]:CLK,
test_0/u100/UPCMTX/source_left_r22[22]:D,
test_0/u100/UPCMTX/source_left_r22[22]:EN,
test_0/u100/UPCMTX/source_left_r22[22]:LAT,
test_0/u100/UPCMTX/source_left_r22[22]:Q,
test_0/u100/UPCMTX/source_left_r22[22]:SD,
test_0/u100/UPCMTX/source_left_r22[22]:SLn,
test_0/u100/DSD138/UIN100/jishi_lm_0[23]:A,
test_0/u100/DSD138/UIN100/jishi_lm_0[23]:B,
test_0/u100/DSD138/UIN100/jishi_lm_0[23]:C,
test_0/u100/DSD138/UIN100/jishi_lm_0[23]:D,
test_0/u100/DSD138/UIN100/jishi_lm_0[23]:Y,
test_0/u100/UPCMTX/source_right_r8[24]:ADn,
test_0/u100/UPCMTX/source_right_r8[24]:ALn,
test_0/u100/UPCMTX/source_right_r8[24]:CLK,
test_0/u100/UPCMTX/source_right_r8[24]:D,
test_0/u100/UPCMTX/source_right_r8[24]:EN,
test_0/u100/UPCMTX/source_right_r8[24]:LAT,
test_0/u100/UPCMTX/source_right_r8[24]:Q,
test_0/u100/UPCMTX/source_right_r8[24]:SD,
test_0/u100/UPCMTX/source_right_r8[24]:SLn,
test_0/u100/u_sample/source_left_l1[19]:ADn,
test_0/u100/u_sample/source_left_l1[19]:ALn,
test_0/u100/u_sample/source_left_l1[19]:CLK,
test_0/u100/u_sample/source_left_l1[19]:D,
test_0/u100/u_sample/source_left_l1[19]:EN,
test_0/u100/u_sample/source_left_l1[19]:LAT,
test_0/u100/u_sample/source_left_l1[19]:Q,
test_0/u100/u_sample/source_left_l1[19]:SD,
test_0/u100/u_sample/source_left_l1[19]:SLn,
test_0/u100/USPDIF_TX/bit_counter[0]:ADn,
test_0/u100/USPDIF_TX/bit_counter[0]:ALn,
test_0/u100/USPDIF_TX/bit_counter[0]:CLK,
test_0/u100/USPDIF_TX/bit_counter[0]:D,
test_0/u100/USPDIF_TX/bit_counter[0]:EN,
test_0/u100/USPDIF_TX/bit_counter[0]:LAT,
test_0/u100/USPDIF_TX/bit_counter[0]:Q,
test_0/u100/USPDIF_TX/bit_counter[0]:SD,
test_0/u100/USPDIF_TX/bit_counter[0]:SLn,
test_0/u100/UPCMTX/source_right_r20[0]:ADn,
test_0/u100/UPCMTX/source_right_r20[0]:ALn,
test_0/u100/UPCMTX/source_right_r20[0]:CLK,
test_0/u100/UPCMTX/source_right_r20[0]:D,
test_0/u100/UPCMTX/source_right_r20[0]:EN,
test_0/u100/UPCMTX/source_right_r20[0]:LAT,
test_0/u100/UPCMTX/source_right_r20[0]:Q,
test_0/u100/UPCMTX/source_right_r20[0]:SD,
test_0/u100/UPCMTX/source_right_r20[0]:SLn,
test_0/u100/UPCMTX/source_left_r23[30]:ADn,
test_0/u100/UPCMTX/source_left_r23[30]:ALn,
test_0/u100/UPCMTX/source_left_r23[30]:CLK,
test_0/u100/UPCMTX/source_left_r23[30]:D,
test_0/u100/UPCMTX/source_left_r23[30]:EN,
test_0/u100/UPCMTX/source_left_r23[30]:LAT,
test_0/u100/UPCMTX/source_left_r23[30]:Q,
test_0/u100/UPCMTX/source_left_r23[30]:SD,
